code,normalizedCode,name,productGroup,productGroupSlug,priceVnd,priceStatus,stockStatus,sourceSite,sourceUrl,imageUrl,suffixes,lastUpdated,note,duplicateRawCount
0012,0012,BAH 0012,Vòng bi SKF,vong-bi-skf,469000,listed,unknown,bacdanskf.com,https://bacdanskf.com/bah-0012/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0013,0013,BAF 0013,Vòng bi SKF,vong-bi-skf,704000,listed,unknown,bacdanskf.com,https://bacdanskf.com/baf-0013/,https://bacdanskf.com/wp-content/uploads/2026/01/baf-0013.jpg,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0043,0043,BAH 0043,Vòng bi SKF,vong-bi-skf,475000,listed,unknown,bacdanskf.com,https://bacdanskf.com/bah-0043/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0049,0049,BAH 0049,Vòng bi SKF,vong-bi-skf,771000,listed,unknown,bacdanskf.com,https://bacdanskf.com/bah-0049/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0058,0058,BAH 0058,Vòng bi SKF,vong-bi-skf,418000,listed,unknown,bacdanskf.com,https://bacdanskf.com/bah-0058/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0068,0068,BAH-0068 D,Vòng bi SKF,vong-bi-skf,665000,listed,unknown,bacdanskf.com,https://bacdanskf.com/bah-0068-d/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0069,0069,BAH-0069,Vòng bi SKF,vong-bi-skf,693000,listed,unknown,bacdanskf.com,https://bacdanskf.com/bah-0069/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0408,0408,HK 0408,Vòng bi SKF,vong-bi-skf,54000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0408/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0509,0509,HK 0509,Vòng bi SKF,vong-bi-skf,52000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0509/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0608,0608,HK 0608,Vòng bi SKF,vong-bi-skf,52000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0608/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0609,0609,HK 0609,Vòng bi SKF,vong-bi-skf,45000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0609/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,2
0808,0808,HK 0808,Vòng bi SKF,vong-bi-skf,55000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0808/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0810,0810,HK 0810,Vòng bi SKF,vong-bi-skf,48000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0810/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0812,0812,HK 0812.2RS,Vòng bi SKF,vong-bi-skf,83000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0812-2rs/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0910,0910,HK 0910,Vòng bi SKF,vong-bi-skf,55000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0910/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
0912,0912,HK 0912,Vòng bi SKF,vong-bi-skf,90000,listed,unknown,bacdanskf.com,https://bacdanskf.com/hk-0912/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
100044,100044,100044,Phớt SKF,phot-skf,1752000,listed,out_of_stock,vongbicongnghiep.vn,https://vongbicongnghiep.vn/san-pham/100044/,https://vongbicongnghiep.vn/wp-content/uploads/product_images/phot/phot-chan-dau/so-sauso-dau1.png,,2026-04-29,Gia bo sung tu vongbicongnghiep.vn,1
100051,100051,100051,Phớt SKF,phot-skf,3214000,listed,out_of_stock,vongbicongnghiep.vn,https://vongbicongnghiep.vn/san-pham/100051/,https://vongbicongnghiep.vn/wp-content/uploads/product_images/phot/phot-chan-dau/so-sauso-dau1.png,,2026-04-29,Gia bo sung tu vongbicongnghiep.vn,1
100075,100075,100075,Phớt SKF,phot-skf,3348000,listed,out_of_stock,vongbicongnghiep.vn,https://vongbicongnghiep.vn/san-pham/100075/,https://vongbicongnghiep.vn/wp-content/uploads/product_images/phot/phot-chan-dau/so-sauso-dau1.png,,2026-04-29,Gia bo sung tu vongbicongnghiep.vn,1
1000E,1000E,LAGM 1000E,Vòng bi SKF,vong-bi-skf,12755000,listed,unknown,bacdanskf.com,https://bacdanskf.com/lagm-1000e/,,,2026-04-30,Giá bán chuẩn nội bộ từ bacdanskf.com,1
10034,10034,10034,Phớt SKF,phot-skf,81000,listed,out_of_stock,vongbicongnghiep.vn,https://vongbicongnghiep.vn/san-pham/10034/,https://vongbicongnghiep.vn/wp-content/uploads/product_images/phot/phot-chan-dau/so-namso-dau1.png,,2026-04-29,Gia bo sung tu vongbicongnghiep.vn,1
10035,10035,10035,Phớt SKF,phot-skf,45000,listed,out_of_stock,vongbicongnghiep.vn,https://vongbicongnghiep.vn/san-pham/10035/,https://vongbicongnghiep.vn/wp-content/uploads/product_images/phot/phot-chan-dau/so-namso-dau1.png,,2026-04-29,Gia bo sung tu vongbicongnghiep.vn,1
