normalizedCode,catalogCode,catalogName,productGroup,priceVnd,sourceCode,sourceName,sourceFile
100044,100044,100044,Phớt SKF,1752000,100044-SKF,100044,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100051,100051,100051,Phớt SKF,3214000,100051-SKF,100051,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100075,100075,100075,Phớt SKF,3348000,100075-SKF,100075,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10034,10034,10034,Phớt SKF,81000,10034-SKF,10034,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10035,10035,10035,Phớt SKF,45000,10035-SKF,10035,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10049,10049,10049,Phớt SKF,61000,10049-SKF,10049,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10050,10050,10050,Phớt SKF,90000,10050-SKF,10050,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10058,10058,10058,Phớt SKF,260000,10058-SKF,10058,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10071,10071,10071,Phớt SKF,68000,10071-SKF,10071,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10074,10074,10074,Phớt SKF,82000,10074-SKF,10074,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
10075,10075,10075,Phớt SKF,60000,10075-SKF,10075,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100VAR,100 VA R,100 VA R,Phớt SKF,101000,100 VA R-SKF,100 VA R,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100VAV,100 VA V,100 VA V,Phớt SKF,746000,100 VA V-SKF,100 VA V,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100VSR,100 VS R,100 VS R,Phớt SKF,85000,100 VS R-SKF,100 VS R,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X10HMS5RG,100X120X10 HMS5 RG,100X120X10 HMS5 RG,Phớt SKF,82000,100X120X10 HMS5 RG-SKF,100X120X10 HMS5 RG,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X10HMS5V,100X120X10 HMS5 V,100X120X10 HMS5 V,Phớt SKF,321000,100X120X10 HMS5 V-SKF,100X120X10 HMS5 V,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X10HMSA10RG,100X120X10 HMSA10 RG,100X120X10 HMSA10 RG,Phớt SKF,78000,100X120X10 HMSA10 RG-SKF,100X120X10 HMSA10 RG,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X10HMSA10V,100X120X10 HMSA10 V,100X120X10 HMSA10 V,Phớt SKF,394000,100X120X10 HMSA10 V-SKF,100X120X10 HMSA10 V,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X12CRW1R,100X120X12 CRW1 R,100X120X12 CRW1 R,Phớt SKF,288000,100X120X12 CRW1 R-SKF,100X120X12 CRW1 R,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X12CRW1V,100X120X12 CRW1 V,100X120X12 CRW1 V,Phớt SKF,453000,100X120X12 CRW1 V-SKF,100X120X12 CRW1 V,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X12HMS5RG,100X120X12 HMS5 RG,100X120X12 HMS5 RG,Phớt SKF,72000,100X120X12 HMS5 RG-SKF,100X120X12 HMS5 RG,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X12HMS5V,100X120X12 HMS5 V,100X120X12 HMS5 V,Phớt SKF,321000,100X120X12 HMS5 V-SKF,100X120X12 HMS5 V,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X12HMSA10RG,100X120X12 HMSA10 RG,100X120X12 HMSA10 RG,Phớt SKF,78000,100X120X12 HMSA10 RG-SKF,100X120X12 HMSA10 RG,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X12HMSA10V,100X120X12 HMSA10 V,100X120X12 HMSA10 V,Phớt SKF,379000,100X120X12 HMSA10 V-SKF,100X120X12 HMSA10 V,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X120X13CRSH1R,100X120X13 CRSH1 R,100X120X13 CRSH1 R,Phớt SKF,768000,100X120X13 CRSH1 R-SKF,100X120X13 CRSH1 R,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X125X12CRW1R,100X125X12 CRW1 R,100X125X12 CRW1 R,Phớt SKF,282000,100X125X12 CRW1 R-SKF,100X125X12 CRW1 R,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X125X12CRW1V,100X125X12 CRW1 V,100X125X12 CRW1 V,Phớt SKF,435000,100X125X12 CRW1 V-SKF,100X125X12 CRW1 V,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
100X125X12HMS5RG,100X125X12 HMS5 RG,100X125X12 HMS5 RG,Phớt SKF,74000,100X125X12 HMS5 RG-SKF,100X125X12 HMS5 RG,F:\1_A_Disk_D\Khương Bình\Web-SKF\data-skf\skf_selected_category_phot_2026-04-29-13-49-25.json
