id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"46365","SKF","TLSD 1-DS-SKF","TLSD 1-DS-SKF","TLSD1DSSKF","Phụ kiện bơm mỡ tự động TLSD 1-DS","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF | Phụ kiện bơm mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/bo-bom-mo-tlsd-1-ds/","https://vongbicongnghiep.vn/wp-content/uploads/2023/12/0901d196807e9ce7.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/12/0901d196807e9ce7.png""]","","Phụ kiện bơm mỡ tự động TLSD 1-DS Phụ tùng SKF TLSD 1-DS là bộ truyền động có tấm đỡ mỡ thích hợp cho máy bôi trơn tự động một điểm TLSD. Áp suất xả tối đa 5 bar trong toàn bộ thời gian phân phối Trạng thái của chất bôi trơn hiển thị bằng đèn LED màu đỏ/vàng/xanh lục Kích thước nhỏ gọn cho phép lắp đặt ở những khu vực hạn chế Được cung cấp với mặt bích hỗ trợ để tăng cường độ chắc chắn Thích hợp cho cả cài đặt trực tiếp và từ xa Thích hợp để sử dụng với tất cả các bộ nạp TLSD dầu mỡ khi được lắp đặt với mặt bích hỗ trợ chính xác","[]","1636000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.780Z"
"46309","SKF","90010-00*-SKF","90010-00*-SKF","9001000SKF","Hệ Thống Bôi Trơn AECP","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF | Dụng cụ bôi trơn","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/he-thong-boi-tron-aecp/","https://vongbicongnghiep.vn/wp-content/uploads/2023/11/z4882614182881_bf90ee8e502e88cbf6a8cd8b93de9502.jpg","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/11/z4882614182881_bf90ee8e502e88cbf6a8cd8b93de9502.jpg"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/11/z4882614182881_bf90ee8e502e88cbf6a8cd8b93de9502.jpg"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/11/z4882614762317_0bdcc6ec55baa45c9010433bb8681204.jpg"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/11/z4882615297225_978ddeb0e8dad6985e132c35e6c56dd0.jpg""]","","AECP là hệ thống bôi trơn tự động nhỏ gọn. AECP sử dụng các ống mỡ tiêu chuẩn, giúp việc đổ đầy hệ thống tự động bôi trơn dễ dàng như đổ đầy súng mỡ. Nó không yêu cầu bất kỳ công cụ hoặc thiết bị nạp lại đặc biệt nào. Ngoài ra, việc sử dụng hộp mực cho phép tạora nhiều loại chất bôi trơn THÔNG SỐ KỸ THUẬT Nguyên lý chức năng Bơm bôi trơn vận hành bằng điện Mỡ bôi trơn: NLGI 1 đến NLGI 2 Thể tích ống mỡ tiêu chuẩn 14,1 oz 400 ml Áp suất làm việc 3600 psi (248 bar) Áp suất ngược 800-1000 psi (55-69 bar) Nhiệt độ hoạt động -40 đến +150°F -40 đến +65°C Số phần tử bơm 1 Lượng dầu bôi trơn 0,366 in3/phút 6 cm3/phút Lớp bảo vệ IP IP 6K9K Điện áp: 12V DC Dòng điện hoạt động: 10 hoặc 20 A Kết nối ổ cắm G1/4 Vị trí lắp đặt bất kỳ Kích thước (tối đa H×D×W) 16×7,5×3,5 inch 406×190×89 mm Trọng lượng (trống) 4,6 lb 2,08 kg THÔNG TIN ĐẶT HÀNG Số bộ phận Mô tả 90010-00* Bơm AECP, 12 V DC 280521 Ống mỡ Máy bơm phù hợp với không gian chật hẹp nhờ kích thước nhỏ gọn và các tùy chọn lắp đặt linh hoạt. AECP rất chắc chắn và chịu được môi trường làm việc và điều kiện làm việc khắc nghiệt. Được kết hợp với các thiết bị đo lường lũy tiến SSV, AECP là trái tim của hệ thống bôi trơn tự động vận hành đơn giản. Tất cả các điểm bôi trơn đều được cung cấp đáng tin cậy khi máy đang chạy. Dung tích ống đủ cho ít nhất một ngày làm việc của máy. Cảm biến mức thấp tích hợp cung cấp cảnh báo sớm để thay thế hộp mực. Nếu cần các tùy chọn giám sát nâng cao hơn, AECP có thể được vận hành bằng bộ điều khiển. Hệ Thống Bôi Trơn AECP thường được ứng dụng lên các máy thi công nhỏ như máy xúc máy ủi , xe thu gom rác thải đô thị, và các máy nông nghiệp","[]","0","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41770","SKF","LL/MV8000-SKF","LL/MV8000-SKF","LLMV8000SKF","Bơm SKF MV8000","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/bom-skf-mv8000/","https://vongbicongnghiep.vn/wp-content/uploads/2023/03/MV8000.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/MV8000.png""]","","Đây là bộ bơm chân không cầm tay Mityvac chính hãng được các chuyên gia dịch vụ trên toàn thế giới sử dụng để thực hiện hàng trăm thử nghiệm cơ học và chẩn đoán ô tô cũng như kiểm tra bộ phận xả gió phanh. Bộ MV8000 bao gồm máy bơm chân không cầm tay Selectline phổ biến nhất của chúng tôi với máy đo chân không và các phụ kiện. Tính năng hiện đại, thiết kế công thái học để sử dụng thoải mái, lâu dài Thực hiện chẩn đoán hiệu suất động cơ, chảy máu phanh, truyền chất lỏng, sơ tán, lấy mẫu, sửa chữa kính chắn gió và hơn thế nữa Phát hành chân không một ngón tay thuận tiện Máy đo màng không hộp số cao cấp Tay cầm gia cố cải thiện độ bền Có thể bảo trì tại hiện trường — bộ dụng cụ bảo trì tiêu chuẩn và các bộ phận thay thế có sẵn","[]","0","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41758","SKF","LL/802238-SKF","LL/802238-SKF","LL802238SKF","Bơm mỡ SKF 802238","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF | Phụ kiện bơm mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/bom-mo-skf-802238/","https://vongbicongnghiep.vn/wp-content/uploads/2023/03/12.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/12.png""]","","Bơm mỡ SKF 802238 Gói máy bơm và phụ kiện Lincoln đáng tin cậy bao gồm sê-ri 20 bơm mỡ 50:1, bộ lọc không khí, bộ điều chỉnh, đồng hồ đo, lưu lượng điều khiển, đai WRL với bánh cóc, ngắt kết nối nhanh bằng mỡ và phụ kiện bộ chuyển đổi.","[]","0","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41756","SKF","LL/644-40600-3-SKF","LL/644-40600-3-SKF","LL644406003SKF","Bơm chủ động SKF 644-40600-3","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/bom-chu-dong-skf-644-40600-3/","https://vongbicongnghiep.vn/wp-content/uploads/2023/03/644-40600-3.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/644-40600-3.png""]","","Bơm bôi trơn P203 Chống ăn mòn: C3 (Tiêu chuẩn) Chứng nhận: Chứng nhận KBA Dung tích bình chứa: 4 Lít Chất bôi trơn: Mỡ lên đến NLGI lớp 2 Giám sát mức: Tín hiệu mức thấp Loại hồ chứa: Làm đầy từ trên cao Không có yếu tố bơm Điện áp: 24 Vôn Có plug cắm kết nối Không có bộ điều khiển Được đổ sẵn mỡ tiêu chuẩn NLGI Class 2 Nhiệt độ hoạt động: -25°C đến +70°C Áp suất vận hành: 350 bar Kết nối đầu ra: G 1/4 Lớp bảo vệ IP6K9K Vị trí lắp đặt: Dọc, với tấm theo dõi","[]","25807000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41717","SKF","LL/VPBM-5-SKF","LL/VPBM-5-SKF","LLVPBM5SKF","Bộ chia mỡ SKF VPBM-5","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF | Phụ kiện bơm mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/bo-chia-mo-skf-vpbm-5/","https://vongbicongnghiep.vn/wp-content/uploads/2023/03/vpbm5cc.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/vpbm5cc.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/VPBM5.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/Screenshot-2023-03-24-140236.png""]","","","[]","4933000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41274","SKF","LAGF1-H-SKF","LAGF1-H-SKF","LAGF1HSKF","Đầu chuyển đổi SKF LAGF 1-H","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF | Phụ kiện bơm mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/dau-chuyen-doi-skf-lagf-1-h/","https://vongbicongnghiep.vn/wp-content/uploads/2023/03/LAGF-1-H.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/LAGF-1-H.png""]","","Phụ kiện SKF LAGF 1-H là núm vú phụ phù hợp với chất bôi trơn đa điểm TLMP 1008 và TLMP 1018 và cho máy bơm mỡ LAGF 18 và LAGF 50.","[]","0","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41271","SKF","LAGF1-F-SKF","LAGF1-F-SKF","LAGF1FSKF","Ống dẫn dầu mỡ SKF LAGF1-F","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF | Phụ kiện bơm mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/ong-dan-dau-mo-skf-lagf1-f/","https://vongbicongnghiep.vn/wp-content/uploads/2023/03/LAGF-1-F.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/LAGF-1-F.png""]","","LAGF 1-F Ống linh hoạt với núm vú phụ Phụ kiện SKF LAGF 1-F là một ống mềm có núm phụ phù hợp với TLMP Chất bôi trơn đa điểm 1008 và TLMP 1018 và cho LAGF 18 và LAGF 50 máy bơm mỡ bôi trơn.","[]","0","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41223","SKF","KFGS1MX1XXXXEB+486-SKF","KFGS1MX1XXXXEB+486-SKF","KFGS1MX1XXXXEB486SKF","Bơm mỡ SKF KFGS1MX1XXXXEB+486","Bơm dầu mỡ SKF","Bơm dầu mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/bom-mo-skf-kfgs1mx1xxxxeb486/","https://vongbicongnghiep.vn/wp-content/uploads/2023/03/KFGS1MX1XXXXEB486.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/03/KFGS1MX1XXXXEB486.png""]","","Bơm mỡ SKF KFGS1MX1XXXXEB+486 Pump/Industry/Control unit/2kg container/Mechanical level switch/230VAC Máy bơm/Công nghiệp/Bộ điều khiển/Thùng chứa 2kg/Công tắc mức cơ/230VAC Tải tài liệu thông số bơm mỡ KFG","[]","0","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
"41083","SKF","TMCD 1/2R-SKF","TMCD 1/2R-SKF","TMCD12RSKF","TMCD 1/2R","Bơm dầu mỡ SKF","Bơm dầu mỡ SKF","11637","bom-dau-mo-skf","https://vongbicongnghiep.vn/san-pham/dong-ho-hien-thi-hanh-trinh-piston-skf-tmcd-1-2r/","https://vongbicongnghiep.vn/wp-content/uploads/2023/02/094fbeabcf9b2a0f.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/02/094fbeabcf9b2a0f.png""]","","Đồng hồ hiển thị hành trình Piston SKF: TMCD Thiết bị CMCD của SKF được sử dụng để đo hành trình dọc trục của piston trong thiết kế E-đai ốc thủy lực SKF. Chúng được sử dụng cùng với Phương pháp tăng tốc SKF. TMCD 10R: Chỉ báo quay số ngang (0–10 mm) TMCD 5P: Chỉ báo quay số dọc (0–5 mm) TMCD 1 / 2R: Chỉ báo quay số ngang (0–0,5 in.) Đồng hồ hiển thị hành trình Piston SKF: TMCD 1/2R TECHNICAL DATA TMCD 1/2R Designation TMCD 1/2R Measuring range 0 – 0.5 in Resolution 0,001 in Scaling 0 -100 Length of extension pieces 10, 20, 30, 40 mm (0.4, 0.8, 1.2, 1.6 in) Outside diameter 55 mm (2.2 in) Dial position Right angle to the side face of the hydraulic nut","[]","9765000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:41.781Z"
