id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"55292","SKF","TSO 532-SKF","TSO 532-SKF","TSO532SKF","TSO 532","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5285/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","29683000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55291","SKF","TSO 530-SKF","TSO 530-SKF","TSO530SKF","TSO 530","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5284/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","30959000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55290","SKF","TSO 528-SKF","TSO 528-SKF","TSO528SKF","TSO 528","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5283/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","25207000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55289","SKF","TSO 526-SKF","TSO 526-SKF","TSO526SKF","TSO 526","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5282/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","22140000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55288","SKF","TSO 524-SKF","TSO 524-SKF","TSO524SKF","TSO 524","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5281/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","18352000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55287","SKF","TSO 522-SKF","TSO 522-SKF","TSO522SKF","TSO 522","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5280/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","17826000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55286","SKF","TSO 520-SKF","TSO 520-SKF","TSO520SKF","TSO 520","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5279/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","17448000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55285","SKF","TSO 518-SKF","TSO 518-SKF","TSO518SKF","TSO 518","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5278/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","17088000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55284","SKF","TSO 517-SKF","TSO 517-SKF","TSO517SKF","TSO 517","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5277/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","15995000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55283","SKF","TSO 232-SKF","TSO 232-SKF","TSO232SKF","TSO 232","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5276/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","27350000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55282","SKF","TSO 230-SKF","TSO 230-SKF","TSO230SKF","TSO 230","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5275/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","30405000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55281","SKF","TSO 228-SKF","TSO 228-SKF","TSO228SKF","TSO 228","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5274/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","24396000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55280","SKF","TSO 226-SKF","TSO 226-SKF","TSO226SKF","TSO 226","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5273/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","22171000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55279","SKF","TSO 224-SKF","TSO 224-SKF","TSO224SKF","TSO 224","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5272/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","18013000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55278","SKF","TSO 222-SKF","TSO 222-SKF","TSO222SKF","TSO 222","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5271/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","17467000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55277","SKF","TSO 220-SKF","TSO 220-SKF","TSO220SKF","TSO 220","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5270/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","17096000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
"55276","SKF","TSO 218-SKF","TSO 218-SKF","TSO218SKF","TSO 218","Phớt cho gối","Phớt cho gối","240","goi-do","https://vongbicongnghiep.vn/san-pham/san-pham-5269/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/TSO.png""]","","","[]","16744000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:45:15.396Z"
