id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"79916","SKF","LGLT 2/0.4-SKF","LGLT 2/0.4-SKF","LGLT204SKF","Mỡ bôi trơn SKF LGLT 2/0.4","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/mo-boi-tron-skf-lglt-2-0-4/","https://vongbicongnghiep.vn/wp-content/uploads/2025/08/LGLT2-04.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2025/08/LGLT2-04.png""]","Mỡ bôi trơn SKF LGLT 2/0.2","Mỡ bôi trơn SKF LGLT 2/0.4 SKF LGLT 2 là mỡ gốc dầu tổng hợp hoàn toàn sử dụng xà phòng lithium. Công nghệ làm đặc độc đáo và dầu có độ nhớt thấp (PAO) mang lại hiệu suất bôi trơn tuyệt vời ở nhiệt độ thấp -50 °C (-60 °F) và tốc độ cực cao (có thể đạt tới giá trị ndm là 1,6 * 106). Các ứng dụng tiêu biểu: • Cọc kéo sợi dệt • Cọc máy công cụ • Dụng cụ và thiết bị điều khiển • Trục chính máy công cụ • Thiết bị kiểm tra • Động cơ điện nhỏ được sử dụng trong thiết bị y tế và nha khoa – Giày trượt trong dây chuyền – Xi lanh in – Rô-bốt Mô-men xoắn ma sát thấp chạy êm Ổn định oxy hóa cực tốt và khả năng chống nước Mỡ SKF LGLT 2 Mỡ dùng cho vòng bi có tốc độ rất cao, tiếng ồn thấp hoặc trong môi trường nhiệt độ thấp Tài liệu kỹ thuật LGLT 2: LGLT_2.pdf Tài liệu tham khảo về mỡ SKF (E): Tài liệu kỹ thuật mỡ LGHP 2: LGHP_2.pdf Tài liệu kỹ thuật mỡ LDTS 1:LDTS_1.pdf Tài liệu kỹ thuật mỡ LESA 2: LESA_2.pdf Tài liệu kỹ thuật mỡ LGBB 2: LGBB_2.pdf Tài liệu kỹ thuật mỡ LGEM 2: LGEM_2.pdf Tài liệu kỹ thuật mỡ LGEP 2: LGEP_2.pdf Tài liệu kỹ thuật mỡ LGET 2: LGET_2.pdf Tài liệu kỹ thuật mỡ LGEV 2: LGEV_2.pdf Tài liệu kỹ thuật mỡ LGFP 2:LGFP_2.pdf Tài liệu kỹ thuật mỡ LGGB 2:LGGB_2.pdf Tài liệu kỹ thuật mỡ LGHB 2:LGHB_2.pdf Tài liệu kỹ thuật mỡ LGMT 2:LGMT_2.pdf Tài liệu kỹ thuật mỡ LGLT 2:LGLT_2.pdf Tài liệu kỹ thuật mỡ LGMT 2:LGMT_2.pdf Tài liệu kỹ thuật mỡ LGMT 2:LGMT_3.pdf Tài liệu kỹ thuật mỡ LGWA 2:LGWA_2.pdf Tài liệu kỹ thuật mỡ LGWM 1:LGWM_1.pdf Tài liệu kỹ thuật mỡ LGWM 2:LGWM_2.pdf Tài liệu kỹ thuật mỡ LGCG 1:LMCG_1.pdf Tài liệu kỹ thuật mỡ SKF:Thong_so_mo_SKF.pdf","[]","768000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.220Z"
"79915","SKF","LGLT 2/18-SKF","LGLT 2/18-SKF","LGLT218SKF","Mỡ bôi trơn SKF LGLT 2/18","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/mo-boi-tron-skf-lglt-2-18/","https://vongbicongnghiep.vn/wp-content/uploads/2025/08/LGLT2-18.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2025/08/LGLT2-18.png""]","Mỡ bôi trơn SKF LGLT 2/0.2","Mỡ bôi trơn SKF LGLT 2/18 SKF LGLT 2 là mỡ gốc dầu tổng hợp hoàn toàn sử dụng xà phòng lithium. Công nghệ làm đặc độc đáo và dầu có độ nhớt thấp (PAO) mang lại hiệu suất bôi trơn tuyệt vời ở nhiệt độ thấp -50 °C (-60 °F) và tốc độ cực cao (có thể đạt tới giá trị ndm là 1,6 * 106). Các ứng dụng tiêu biểu: • Cọc kéo sợi dệt • Cọc máy công cụ • Dụng cụ và thiết bị điều khiển • Trục chính máy công cụ • Thiết bị kiểm tra • Động cơ điện nhỏ được sử dụng trong thiết bị y tế và nha khoa – Giày trượt trong dây chuyền – Xi lanh in – Rô-bốt Mô-men xoắn ma sát thấp chạy êm Ổn định oxy hóa cực tốt và khả năng chống nước Mỡ SKF LGLT 2 Mỡ dùng cho vòng bi có tốc độ rất cao, tiếng ồn thấp hoặc trong môi trường nhiệt độ thấp Tài liệu kỹ thuật LGLT 2: LGLT_2.pdf Tài liệu tham khảo về mỡ SKF (E): Tài liệu kỹ thuật mỡ LGHP 2: LGHP_2.pdf Tài liệu kỹ thuật mỡ LDTS 1:LDTS_1.pdf Tài liệu kỹ thuật mỡ LESA 2: LESA_2.pdf Tài liệu kỹ thuật mỡ LGBB 2: LGBB_2.pdf Tài liệu kỹ thuật mỡ LGEM 2: LGEM_2.pdf Tài liệu kỹ thuật mỡ LGEP 2: LGEP_2.pdf Tài liệu kỹ thuật mỡ LGET 2: LGET_2.pdf Tài liệu kỹ thuật mỡ LGEV 2: LGEV_2.pdf Tài liệu kỹ thuật mỡ LGFP 2:LGFP_2.pdf Tài liệu kỹ thuật mỡ LGGB 2:LGGB_2.pdf Tài liệu kỹ thuật mỡ LGHB 2:LGHB_2.pdf Tài liệu kỹ thuật mỡ LGMT 2:LGMT_2.pdf Tài liệu kỹ thuật mỡ LGLT 2:LGLT_2.pdf Tài liệu kỹ thuật mỡ LGMT 2:LGMT_2.pdf Tài liệu kỹ thuật mỡ LGMT 2:LGMT_3.pdf Tài liệu kỹ thuật mỡ LGWA 2:LGWA_2.pdf Tài liệu kỹ thuật mỡ LGWM 1:LGWM_1.pdf Tài liệu kỹ thuật mỡ LGWM 2:LGWM_2.pdf Tài liệu kỹ thuật mỡ LGCG 1:LMCG_1.pdf Tài liệu kỹ thuật mỡ SKF:Thong_so_mo_SKF.pdf","[]","25745000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.221Z"
"41939","SKF","TLSD 250/FG2-SKF","TLSD 250/FG2-SKF","TLSD250FG2SKF","Bôi trơn tự động SKF TLSD 250/FG2","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/boi-tron-tu-dong-skf-tlsd-250-fg2/","https://vongbicongnghiep.vn/wp-content/uploads/2023/04/TLSD-250-FG2.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/04/TLSD-250-FG2.png""]","Bôi trơn tự động SKF LGHQ 2/SD250","Bôi trơn tự động SKF TLSD 250/FG2 Bộ nạp lại SKF SYSTEM 24 TLSD Bộ này chứa đầy mỡ SKF LGFG 2 dành cho nhiệt độ cao và tốc độ cao được khuyên dùng cho động cơ điện, quạt và máy bơm. Bộ nạp lại của chúng tôi dành cho chất bôi trơn SKF SYSTEM 24 chứa đầy mỡ/dầu và có thể được sử dụng với mọi chất bôi trơn TLSD. Để sử dụng bộ nạp dầu, bạn cần có một tấm đỡ có van hồi lưu tích hợp phải được đặt hàng riêng. Lãi suất trả góp linh hoạt từ 1 đến 12 tháng Bộ nạp lại sẵn sàng để sử dụng Có thể được sử dụng với tất cả các chất bôi trơn TLSD Đổ đầy mỡ hoặc dầu SKF Cài đặt nhanh chóng và dễ dàng","[]","3474000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.221Z"
"41936","SKF","LGHQ 2/SD125-SKF","LGHQ 2/SD125-SKF","LGHQ2SD125SKF","Bôi trơn tự động SKF LGHQ 2/SD125","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/boi-tron-tu-dong-skf-lghq-2-sd125/","https://vongbicongnghiep.vn/wp-content/uploads/2023/04/LGHQ-2-SD125.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/04/LGHQ-2-SD125.png""]","Bôi trơn tự động SKF LGHQ 2/SD250","Bôi trơn tự động SKF LGHQ 2/SD125 Bộ nạp lại SKF SYSTEM 24 TLSD Bộ này chứa đầy mỡ SKF LGHQ 2 dành cho nhiệt độ cao và tốc độ cao được khuyên dùng cho động cơ điện, quạt và máy bơm. Bộ nạp lại của chúng tôi dành cho chất bôi trơn SKF SYSTEM 24 chứa đầy mỡ/dầu và có thể được sử dụng với mọi chất bôi trơn TLSD. Để sử dụng bộ nạp dầu, bạn cần có một tấm đỡ có van hồi lưu tích hợp phải được đặt hàng riêng. Lãi suất trả góp linh hoạt từ 1 đến 12 tháng Bộ nạp lại sẵn sàng để sử dụng Có thể được sử dụng với tất cả các chất bôi trơn TLSD Đổ đầy mỡ hoặc dầu SKF Cài đặt nhanh chóng và dễ dàng","[]","797000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.221Z"
"41933","SKF","LGFP 2/SD250-SKF","LGFP 2/SD250-SKF","LGFP2SD250SKF","Mỡ bôi trơn SKF LGFP 2/SD250","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/mo-boi-tron-skf-lgfp-2-sd250/","https://vongbicongnghiep.vn/wp-content/uploads/2023/04/LGFP-2-SD250.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/04/LGFP-2-SD250.png""]","Mỡ bôi trơn SKF LGFP 2/1","Mỡ bôi trơn SKF:LGFP 2/SD250 dùng cho ngành thực phẩm Mỡ thực phẩm đa năng SKF LGFP 2 là loại mỡ chịu lực sạch, không độc hại, được sản xuất dựa trên tiêu chuẩn ngành y tế. • Khả năng chống nước cao • Tuổi thọ dầu mỡ tuyệt vời • Chống ăn mòn tuyệt vời • Giá trị pH trung tính về cơ bản • NSF H1 đã đăng ký và được chứng nhận Halal và Kosher Các ứng dụng tiêu biểu • Vòng bi cassette nhiều gói • Máy đóng gói • Vòng bi băng tải • Máy đóng chai Quy cách đóng gói mỡ LGFP 2 Quy cách đóng gói Ký hiệu Đóng gói hộp 250 ml LGFP 2/SD250 Đóng gói hộp 1 Kg LGFP 2/1 Đối gói thùng 18 Kg LGFP 2/18 Đóng gói thùng 180 Kg LGFP 2/180 Thông số kỹ thuật của mỡ LGFP 2 Các chứng chỉ về an toàn thực phẩm của mỡ LGFP 2 được các tổ chức độc lập xác thực – Datasheet của mỡ LGFP 2 – Chứng chỉ NSF cấp cho mỡ LGFP 2 – Chứng chỉ Halal certificate LGFP 2 – Safety data sheet LGFP2 (MSDS LGFP 2 ) – Kosher certificate LGFP 2 – Chứng chỉ HALAL cấp co mỡ LGFP 2 – Chứng chỉ Kosher cấp co mỡ LGFP 2","[]","1325000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.221Z"
"41187","SKF","LGFG 2/MR380-SKF","LGFG 2/MR380-SKF","LGFG2MR380SKF","Mỡ bôi trơn SKF LGFG 2/MR380","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/mo-boi-tron-skf-lgfg-2-mr380/","https://vongbicongnghiep.vn/wp-content/uploads/2023/02/094505bf4b5dc3fa.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/02/094505bf4b5dc3fa.png""]","","Mỡ bôi trơn SKF LGFG 2/MR380 Bộ nạp tiền TLMR Bộ này chứa đầy mỡ ổ trục tương thích với thực phẩm SKF LGFG 2 được khuyên dùng cho các ứng dụng trong ngành thực phẩm và đồ uống. Bộ nạp lại SKF TLMR có hai phiên bản: dành cho TLMR 201 và TLMR 101. Bộ này chứa một hộp chứa đầy một lượng mỡ 120 hoặc 380 ml. Đối với bộ nạp tiền TLMR 101, một bộ pin được bao gồm và các ký hiệu kết thúc bằng B Dimensions Lubricant quantity 380 ml Performance Product weight 0.52 kg Properties Ambient temperature range –25 to +70 °C Lubricant LGFG 2 Lubricant description General purpose food grade grease Lubricant operating temperature range –30 to +140 °C NLGI consistency class 2 Shelf life 3 year","[]","1643000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.221Z"
"41180","SKF","LAGD 125/HP2-SKF","LAGD 125/HP2-SKF","LAGD125HP2SKF","Mỡ bôi trơn tự động LAGD 125/HP2","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/mo-boi-tron-tu-dong-lagd-125-hp2/","https://vongbicongnghiep.vn/wp-content/uploads/2023/02/PR16771BI16732_lagd125_hp2_skf_SKF_LAGD_125_HP2_High_Performance_LGHP_2_Grease_125_IMD__62102.1672761731.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/02/PR16771BI16732_lagd125_hp2_skf_SKF_LAGD_125_HP2_High_Performance_LGHP_2_Grease_125_IMD__62102.1672761731.png""]","","Bộ bôi trơn tự động một điểm điều khiển bằng khí SKF LAGD 125/HP2 SKF SYSTEM 24 chất bôi trơn tự động một điểm điều khiển bằng khí LAGD 125/HP2 chứa đầy mỡ SKF LGHP 2 dành cho nhiệt độ cao và tốc độ cao được khuyên dùng cho động cơ điện, quạt và máy bơm. Chất bôi trơn tự động một điểm dẫn động bằng khí của chúng tôi có nhiều cấu hình, được đổ sẵn chất bôi trơn SKF hoặc rỗng, thích hợp để đổ đầy dầu. Với kích hoạt không cần công cụ và cài đặt thời gian, chúng cho phép tái bôi trơn dễ dàng, an toàn và chính xác. SKF SYSTEM 24 Các thiết bị được cung cấp sẵn sàng để sử dụng ngay từ hộp và chứa đầy đủ loại chất bôi trơn SKF hiệu suất cao. Kích hoạt không cần dụng cụ và cài đặt thời gian cho phép điều chỉnh lưu lượng bôi trơn dễ dàng và chính xác. Các tính năng và lợi ích • Tỷ lệ phân phối linh hoạt từ 1 đến 12 tháng • ATEX vùng 0 đã được phê duyệt • Hộp chứa chất bôi trơn trong suốt cho phép kiểm tra trực quan tỷ lệ phân phối • Kích thước nhỏ gọn, cho phép lắp đặt ở những khu vực hạn chế Video sử dụng sản phẩm Tài liệu liên quan: Catalog mỡ bôi trơn tự động System 24 Catalog LAGD series Hướng dẫn sử dụng nhanh LAGD Hướng dẫn sử dụng LAGD Thông số Kỹ thuật của dòng mỡ LAGD Chi tiết đặt hàng Mô tả Mô tả Mô tả Mỡ Dung tích 60 ml Dung tích 120 ml LGWA 2 Mỡ đa năng LAGD 60/WA2 LAGD 125/WA2 LGEM 2 Mỡ tải trọng cao, tốc độ chậm LAGD 60/EM2 LAGD 125/EM2 LGGB 2 Mỡ Phân hủy sinh học – LAGD 125/GB2 LGHB 2 Mỡ dùng cho ứng dụng nhiệt độ cao, tải cao, phù hợp vòng bi GE LAGD 60/HB2 LAGD 125/HB2 LGHQ 2 Mỡ hiệu suất cao, nhiệt độ cao LAGD 60/HQ2 LAGD 125/HQ2 LGFP 2 Mỡ thực phẩm, đa năng LAGD 60/FP2 LAGD 125/FP2 LGWM 2 Mỡ chịu tải cao, dải nhiệt độ rộng – LAGD 125/WM2 LGFQ 2 Mỡ thực phẩm, tải cao, nhiệt độ rộng – LAGD 125/FQ2 Dầu xích LHMT 68 Dầu có nhiệt độ trung bình LAGD 60/HMT68* LAGD 125/HMT68* LHHT 250 Dầu nhiệt độ cao – LAGD 125/HT250* LFFM 100 Dầu cho ngành thực phẩm, NSF H1 – LAGD 125/FM100* LFFT 220 Dầu cho ngành thực phẩm, NSF H1 – LAGD 125/FT220* Thông số Kỹ thuật Ký hiệu LAGD 60 và LAGD 125 Dung tích hộp mỡ LAGD 60 60 ml (2 US fl. oz) LAGD 125 125 ml (4.2 US fl. oz) Thời gian hộp mỡ hoạt động Điều chỉnh; 1–12 tháng Nhiệt độ môi trường xung quanh –20 đến +60 °C (–5 đến +140 °F) Áp suất hoạt động lớn nhất 5 bar (75 psi) Cơ chế hoạt động Pin khí, khí trơ Ren liên kết R1/4 Độ dài đường cấp tối đa Mỡ 300 mm (11.8 in.) dầu 1 500 mm (59.1 in.) Chứng chỉ kiểm tra EC DEKRA 21ATEX0015 X Khả năng kháng nước IP 68 Nhiệt độ bảo quản 20 °C (70 °F) Thời gian lưu kho 2 years Trọng lượng LAGD 125 approx 200 g (7.1 oz) LAGD 60 approx 130 g (4.6 oz) Đã bao gồm mỡ bên trong","[]","801000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.222Z"
"41176","SKF","LAGD 125/HQ2-SKF","LAGD 125/HQ2-SKF","LAGD125HQ2SKF","Mỡ bôi trơn tự động LAGD 125/HQ2","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/mo-boi-tron-tu-dong-lagd-125-hq2/","https://vongbicongnghiep.vn/wp-content/uploads/2023/02/LAGD125HQ.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/02/LAGD125HQ.png""]","","Bộ bôi trơn tự động một điểm điều khiển bằng khí SKF LAGD 125/HQ2 SKF SYSTEM 24 chất bôi trơn tự động một điểm điều khiển bằng khí LAGD 125/HQ2 chứa đầy mỡ SKF LGHQ 2 dành cho nhiệt độ cao và tốc độ cao được khuyên dùng cho động cơ điện, quạt và máy bơm. Chất bôi trơn tự động một điểm dẫn động bằng khí của chúng tôi có nhiều cấu hình, được đổ sẵn chất bôi trơn SKF hoặc rỗng, thích hợp để đổ đầy dầu. Với kích hoạt không cần công cụ và cài đặt thời gian, chúng cho phép tái bôi trơn dễ dàng, an toàn và chính xác. SKF SYSTEM 24 Các thiết bị được cung cấp sẵn sàng để sử dụng ngay từ hộp và chứa đầy đủ loại chất bôi trơn SKF hiệu suất cao. Kích hoạt không cần dụng cụ và cài đặt thời gian cho phép điều chỉnh lưu lượng bôi trơn dễ dàng và chính xác. Các tính năng và lợi ích • Tỷ lệ phân phối linh hoạt từ 1 đến 12 tháng • ATEX vùng 0 đã được phê duyệt • Hộp chứa chất bôi trơn trong suốt cho phép kiểm tra trực quan tỷ lệ phân phối • Kích thước nhỏ gọn, cho phép lắp đặt ở những khu vực hạn chế Video sử dụng sản phẩm Tài liệu liên quan: Catalog mỡ bôi trơn tự động System 24 Catalog LAGD series Hướng dẫn sử dụng nhanh LAGD Hướng dẫn sử dụng LAGD Thông số Kỹ thuật của dòng mỡ LAGD Chi tiết đặt hàng Mô tả Mô tả Mô tả Mỡ Dung tích 60 ml Dung tích 120 ml LGWA 2 Mỡ đa năng LAGD 60/WA2 LAGD 125/WA2 LGEM 2 Mỡ tải trọng cao, tốc độ chậm LAGD 60/EM2 LAGD 125/EM2 LGGB 2 Mỡ Phân hủy sinh học – LAGD 125/GB2 LGHB 2 Mỡ dùng cho ứng dụng nhiệt độ cao, tải cao, phù hợp vòng bi GE LAGD 60/HB2 LAGD 125/HB2 LGHQ 2 Mỡ hiệu suất cao, nhiệt độ cao LAGD 60/HQ2 LAGD 125/HQ2 LGFP 2 Mỡ thực phẩm, đa năng LAGD 60/FP2 LAGD 125/FP2 LGWM 2 Mỡ chịu tải cao, dải nhiệt độ rộng – LAGD 125/WM2 LGFQ 2 Mỡ thực phẩm, tải cao, nhiệt độ rộng – LAGD 125/FQ2 Dầu xích LHMT 68 Dầu có nhiệt độ trung bình LAGD 60/HMT68* LAGD 125/HMT68* LHHT 250 Dầu nhiệt độ cao – LAGD 125/HT250* LFFM 100 Dầu cho ngành thực phẩm, NSF H1 – LAGD 125/FM100* LFFT 220 Dầu cho ngành thực phẩm, NSF H1 – LAGD 125/FT220* Thông số Kỹ thuật Ký hiệu LAGD 60 và LAGD 125 Dung tích hộp mỡ LAGD 60 60 ml (2 US fl. oz) LAGD 125 125 ml (4.2 US fl. oz) Thời gian hộp mỡ hoạt động Điều chỉnh; 1–12 tháng Nhiệt độ môi trường xung quanh –20 đến +60 °C (–5 đến +140 °F) Áp suất hoạt động lớn nhất 5 bar (75 psi) Cơ chế hoạt động Pin khí, khí trơ Ren liên kết R1/4 Độ dài đường cấp tối đa Mỡ 300 mm (11.8 in.) dầu 1 500 mm (59.1 in.) Chứng chỉ kiểm tra EC DEKRA 21ATEX0015 X Khả năng kháng nước IP 68 Nhiệt độ bảo quản 20 °C (70 °F) Thời gian lưu kho 2 years Trọng lượng LAGD 125 approx 200 g (7.1 oz) LAGD 60 approx 130 g (4.6 oz) Đã bao gồm mỡ bên trong","[]","835000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.223Z"
"40713","SKF","LAGD 125/HMT68-SKF","LAGD 125/HMT68-SKF","LAGD125HMT68SKF","Mỡ LAGD 125/HMT68","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/mo-lagd-125-hmt68/","https://vongbicongnghiep.vn/wp-content/uploads/2023/02/LAGD-HMT.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/02/LAGD-HMT.png""]","","Mơ bôi trơn LAGD 125/HMT68 SKF SYSTEM 24 chất bôi trơn tự động một điểm điều khiển bằng khí LAGD 125/HMT68 chứa đầy dầu xích khoáng chất lượng cao SKF LHMT 68 với khả năng bảo vệ chống mài mòn cao. Chất bôi trơn tự động một điểm dẫn động bằng khí của chúng tôi có nhiều cấu hình, được đổ sẵn chất bôi trơn SKF hoặc rỗng, thích hợp để đổ đầy dầu. Với kích hoạt không cần công cụ và cài đặt thời gian, chúng cho phép tái bôi trơn dễ dàng, an toàn và chính xác. Lãi suất trả góp linh hoạt từ 1 đến 12 tháng ATEX vùng 0 đã được phê duyệt Bình chứa chất bôi trơn trong suốt cho phép kiểm tra trực quan tốc độ phân phối Kích thước nhỏ gọn, phù hợp với những khu vực hạn chế Cải thiện độ tin cậy và bảo trì tối ưu Dimensions Lubricant quantity 125 ml Performance Degree of protection (IP) IP 68 Maximum feed line length 1.5 m Maximum pressure 5 bar Nominal emptying time Adjustable, 1–12 months Product weight 0.18 kg Properties Ambient temperature range –20 to +60 °C Connecting thread R 1/4 Drive mechanism Gas cell producing inert gas Intrinsically safe approval II 1G Ex ia IIC T6 Ga, II 1D Ex ia IIIC T200 85°C Da, I M1 Ex ia I Ma Lubricant LHMT 68 Lubricant description High-performance mineral chain oil Lubricant operating temperature range –20 to +100 °C Power source Gas cell Recommended applications Conveyor, Drive and Lift chains operating at medium temperatures;Ovens Recommended storage temperature 20 °C Shelf life 2 year Special features Non-return valve included","[{""name"":""brand"",""terms"":[""SKF""]}]","840000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.223Z"
"40712","SKF","LHMF 300/5-SKF","LHMF 300/5-SKF","LHMF3005SKF","Dầu bôi trơn LHMF 300/5","Mỡ bôi trơn SKF","Mỡ bôi trơn SKF","95","mo-boi-tron-skf","https://vongbicongnghiep.vn/san-pham/dau-boi-tron-lhmf-300-5/","https://vongbicongnghiep.vn/wp-content/uploads/2023/02/LHMF-1.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/02/LHMF-1.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/02/lhmf-300-2.jpg""]","","Khi sử dụng các thiết bị thủy lực của SKF như bơm thủy lực, kim phun dầu và HMV đai ốc thủy lực, điều quan trọng là phải sử dụng đúng loại dầu để đạt hiệu suất tối ưu. Đối với các ứng dụng áp suất cao, lên đến 400 MPa (58 000 psi), SKF đã phát triển một chất lỏng lắp và chất lỏng tháo. Các chất lỏng có chỉ số độ nhớt cao, chứa chất chống ăn mòn và không tích cực đối với hầu hết các vật liệu bịt kín phổ biến như cao su nitrile, Buna N (Perbunan), da chrome, da va PTFE. • Chỉ số độ nhớt cao • Không xâm lấn đối với hầu hết các vật liệu bịt kín phổ biến • LHMF 300 có sẵn trong can 1 và 5 lít và phuy 205 lít • LHDF 900 có dạng can 5 lít và phuy 205 lít","[{""name"":""brand"",""terms"":[""SKF""]}]","3353000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:35.223Z"
