id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"47742","SKF","534953-SKF","534953-SKF","534953SKF","534953","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/534953/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-so.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-so.png""]","","534953 Phớt SKF","[]","176000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47726","SKF","340X380X20 HDS1 R-SKF","340X380X20 HDS1 R-SKF","340X380X20HDS1RSKF","340X380X20 HDS1 R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/340x380x20-hds1-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HDS1-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HDS1-R.png""]","","340X380X20 HDS1 R, d = 340mm, D = 380mm, B = 20 mm","[]","7531000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47720","SKF","325 VA V-SKF","325 VA V-SKF","325VAVSKF","325 VA V","PHỚT","PHỚT | Phớt chặn dầu chịu nhiệt","69","phot","https://vongbicongnghiep.vn/san-pham/325-va-v/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/120-VA-V.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/120-VA-V.png""]","","325 VA V, Phớt Vring SKF d1min = 310mm, d1max = 335mm, b = 25mm","[]","8039000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47657","SKF","300X340X18 HDS2 R-SKF","300X340X18 HDS2 R-SKF","300X340X18HDS2RSKF","300X340X18 HDS2 R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/300x340x18-hds2-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HDS2-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HDS2-R.png""]","","300X340X18 HDS2 R","[]","7376000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47656","SKF","280x310x16 HS8 R-SKF","280x310x16 HS8 R-SKF","280X310X16HS8RSKF","280x310x16 HS8 R","Phớt chặn dầu","Phớt chặn dầu | PHỚT","69","phot","https://vongbicongnghiep.vn/san-pham/280x310x16-hs8-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HS8R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HS8R.png""]","","280x310x16 HS8 R, Phớt chặn dầu SKF thiết kế kiểu HS8 R","[]","4812000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47655","SKF","28 VA V-SKF","28 VA V-SKF","28VAVSKF","28 VA V","PHỚT","PHỚT | Phớt chặn dầu chịu nhiệt","69","phot","https://vongbicongnghiep.vn/san-pham/28-va-v/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/120-VA-V.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/120-VA-V.png""]","","28 VA V, Phớt Vring chịu nhiệt SKF d1min = 27mm, d1max = 29mm, b = 7.5mm","[]","140000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47654","SKF","28 VA R-SKF","28 VA R-SKF","28VARSKF","28 VA R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/28-va-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/140-VA-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/140-VA-R.png""]","","28 VA R, phớt Vring SKF có d1min = 27mm, d1max = 29mm, b = 7.5mm","[]","29000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47652","SKF","250 VL R-SKF","250 VL R-SKF","250VLRSKF","250 VL R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/250-vl-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/170-VL-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/170-VL-R.png""]","","250 VL R phớt Vring SKF, d1min = 233mm, d1max = 260mm, b = 10.5mm","[]","501000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47651","SKF","240X270X15 HS8 R-SKF","240X270X15 HS8 R-SKF","240X270X15HS8RSKF","240X270X15 HS8 R","Phớt chặn dầu","Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/240x270x15-hs8-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HS8R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/HS8R.png""]","","","[{""name"":""Đường kính trong d [mm]"",""terms"":[""240""]},{""name"":""Đường kính ngoài D [mm]"",""terms"":[""270""]},{""name"":""Độ dày B [mm]"",""terms"":[""15""]},{""name"":""brand"",""terms"":[""SKF""]}]","4812000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47625","SKF","20X42X7 HMS5 RG-SKF","20X42X7 HMS5 RG-SKF","20X42X7HMS5RGSKF","20X42X7 HMS5 RG","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/20x42x7-hms5-rg/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png""]","","20X42X7 HMS5 RG, phớt chặn dầu SKF có kích thước d = 20mm, D = 42mm, B = 7mm","[]","20000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47624","SKF","199 VA R-SKF","199 VA R-SKF","199VARSKF","199 VA R","Phớt chặn dầu","Phớt chặn dầu | PHỚT","69","phot","https://vongbicongnghiep.vn/san-pham/199-va-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/140-VA-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/140-VA-R.png""]","","199 VA R là phớt Vring SKF, d1min = 195mm, d1max = 210mm, b = 14.5mm","[]","376000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47620","SKF","190 VL R-SKF","190 VL R-SKF","190VLRSKF","190 VL R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/190-vl-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/170-VL-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/170-VL-R.png""]","","190 VL R thuộc dạng phớt Vring của SKF, d1min = 185mm, d1max = 195mm, b = 10.5mm","[]","322000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47572","SKF","170 VL R-SKF","170 VL R-SKF","170VLRSKF","170 VL R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/170-vl-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/170-VL-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/170-VL-R.png""]","","Phớt SKF 170 VL R, dmin = 165mm, dmax = 175mm, b =10.5mm","[]","256000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47571","SKF","165X190X13 HMS4 R-SKF","165X190X13 HMS4 R-SKF","165X190X13HMS4RSKF","165X190X13 HMS4 R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/165x190x13-hms4-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png""]","","Phớt SKF 165X190X13 HMS4 R","[]","832000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47569","SKF","120X155X16 HMSA7 R-SKF","120X155X16 HMSA7 R-SKF","120X155X16HMSA7RSKF","120X155X16 HMSA7 R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/120x155x16-hmsa7-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png""]","","Phớt SKF 120X155X16 HMSA7 R","[]","429000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47567","SKF","125X155X14 HMSA10 RG-SKF","125X155X14 HMSA10 RG-SKF","125X155X14HMSA10RGSKF","125X155X14 HMSA10 RG","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/125x155x14-hmsa10-rg/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/phot-RG.png""]","","Phớt SKF 125X155X14 HMSA10 RG","[]","173000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47564","SKF","140 VA R-SKF","140 VA R-SKF","140VARSKF","140 VA R","PHỚT","PHỚT | Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/phot-skf-140-va-r/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/140-VA-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/140-VA-R.png""]","","Phớt SKF 140 VA R, dmin = 135mm, dmax = 145mm, b = 12.8mm","[]","171000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"47562","SKF","120 VA V-SKF","120 VA V-SKF","120VAVSKF","120 VA V","PHỚT","PHỚT | Phớt chặn dầu chịu nhiệt","69","phot","https://vongbicongnghiep.vn/san-pham/phot-skf-120-va-v/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/120-VA-V.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/120-VA-V.png""]","","Phớt SKF 120 VA V chịu nhiệt, d = 115mm, D = 125mm, B = 12.8mm","[]","1548000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"42621","SKF","95 VA R-SKF","95 VA R-SKF","95VARSKF","95 VA R","Phớt chặn dầu","Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/95-va-r/","https://vongbicongnghiep.vn/wp-content/uploads/2023/09/VA-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/09/VA-R.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/09/BANVE-VA.png""]","","","[{""name"":""Đường kính trong d [mm]"",""terms"":[""85""]},{""name"":""Độ dày B [mm]"",""terms"":[""11""]},{""name"":""b1"",""terms"":[""6.8""]},{""name"":""d1 (min)"",""terms"":[""93""]},{""name"":""d1 (max)"",""terms"":[""98""]},{""name"":""Phớt chắn"",""terms"":[""VA""]},{""name"":""brand"",""terms"":[""SKF""]}]","97000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
"42620","SKF","85 VA R-SKF","85 VA R-SKF","85VARSKF","85 VA R","Phớt chặn dầu","Phớt chặn dầu","69","phot","https://vongbicongnghiep.vn/san-pham/85-va-r/","https://vongbicongnghiep.vn/wp-content/uploads/2023/09/VA-R.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/09/VA-R.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2023/09/BANVE-VA.png""]","","","[{""name"":""Đường kính trong d [mm]"",""terms"":[""76""]},{""name"":""Độ dày B [mm]"",""terms"":[""11""]},{""name"":""b1"",""terms"":[""6.8""]},{""name"":""d1 (min)"",""terms"":[""83""]},{""name"":""d1 (max)"",""terms"":[""88""]},{""name"":""Phớt chắn"",""terms"":[""VA""]},{""name"":""brand"",""terms"":[""SKF""]}]","87000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:46:56.391Z"
