id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"49949","SKF","LL/237-10266-1-SKF","LL/237-10266-1-SKF","LL237102661SKF","237-10266-1","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/237-10266-1-2/","","[]","","","[]","45725000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"49948","SKF","LL/234-13101-2-SKF","LL/234-13101-2-SKF","LL234131012SKF","234-13101-2","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/234-13101-2-2/","","[]","","","[]","7697000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"49946","SKF","LL/525-32080-1-SKF","LL/525-32080-1-SKF","LL525320801SKF","Van định hướng SKF 525-32080-1","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/van-dinh-huong-skf-525-32080-1-2/","","[]","","","[]","30125000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"47650","SKF","237-10266-1-SKF","237-10266-1-SKF","237102661SKF","237-10266-1","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/237-10266-1/","","[]","","Cảm biến sonar 237-10266-1","[]","0","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"47649","SKF","234-13101-2-SKF","234-13101-2-SKF","234131012SKF","234-13101-2","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/234-13101-2/","","[]","","","[]","0","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"47560","SKF","1077600-3-SKF","1077600-3-SKF","10776003SKF","Núm vú SKF 1077600-3","Phụ kiện bơm mỡ SKF","Phụ kiện bơm mỡ SKF | HỆ THỐNG BÔI TRƠN","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/num-vu-skf1077600-3/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/1077600-3.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/1077600-3.png""]","","Núm vú SKF 1077600-3 nạp cho súng mỡ Phụ tùng SKF 1077600-3 là núm rót thích hợp cho súng bơm mỡ 1077600, TLGH 1 và LAGH 400","[]","260000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"47558","SKF","1077600-1 A-SKF","1077600-1 A-SKF","10776001ASKF","Đầu phun SKF 1077600-1 A","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/dau-phun-skf-1077600-1-a/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/1077600-1-A.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/1077600-1-A.png""]","","Đầu phun SKF 1077600-1 A, dùng cho súng bơm mỡ SKF 1077600, TLGH 1 và LAGH 400","[]","326000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"47556","SKF","1018220 E-SKF","1018220 E-SKF","1018220ESKF","Đầu nối nhanh SKF 1018220 E","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/dau-noi-nhanh-skf-1018220-e/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/1018220-E.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/1018220-E.png""]","","Đầu nối nhanh SKF 1018220 E","[]","2368000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"47554","SKF","LL/532-30739-1-SKF","LL/532-30739-1-SKF","LL532307391SKF","Đầu nối SKF 532-30739-1","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/dau-noi-skf-532-30739-1/","https://vongbicongnghiep.vn/wp-content/uploads/2024/04/532-30739-1.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/04/532-30739-1.png""]","","Đầu nối SKF 532-30739-1 chịu áp lực cao, đường kính ống d = 6mm","[]","104000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
"46365","SKF","TLSD 1-DS-SKF","TLSD 1-DS-SKF","TLSD1DSSKF","Phụ kiện bơm mỡ tự động TLSD 1-DS","HỆ THỐNG BÔI TRƠN","HỆ THỐNG BÔI TRƠN | Bơm dầu mỡ SKF | Phụ kiện bơm mỡ SKF","13288","phu-kien-bom-mo-skf","https://vongbicongnghiep.vn/san-pham/bo-bom-mo-tlsd-1-ds/","https://vongbicongnghiep.vn/wp-content/uploads/2023/12/0901d196807e9ce7.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2023/12/0901d196807e9ce7.png""]","","Phụ kiện bơm mỡ tự động TLSD 1-DS Phụ tùng SKF TLSD 1-DS là bộ truyền động có tấm đỡ mỡ thích hợp cho máy bôi trơn tự động một điểm TLSD. Áp suất xả tối đa 5 bar trong toàn bộ thời gian phân phối Trạng thái của chất bôi trơn hiển thị bằng đèn LED màu đỏ/vàng/xanh lục Kích thước nhỏ gọn cho phép lắp đặt ở những khu vực hạn chế Được cung cấp với mặt bích hỗ trợ để tăng cường độ chắc chắn Thích hợp cho cả cài đặt trực tiếp và từ xa Thích hợp để sử dụng với tất cả các bộ nạp TLSD dầu mỡ khi được lắp đặt với mặt bích hỗ trợ chính xác","[]","1636000","in_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:49:37.193Z"
