id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"76510","SKF","PHP 96L100RSB-SKF","PHP 96L100RSB-SKF","PHP96L100RSBSKF","PHP 96L100RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-96l100rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","1060000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76509","SKF","PHP 96L075RSB-SKF","PHP 96L075RSB-SKF","PHP96L075RSBSKF","PHP 96L075RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-96l075rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","956000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76508","SKF","PHP 96L050RSB-SKF","PHP 96L050RSB-SKF","PHP96L050RSBSKF","PHP 96L050RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-96l050rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","863000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76507","SKF","PHP 90-8M-85RSB-SKF","PHP 90-8M-85RSB-SKF","PHP908M85RSBSKF","PHP 90-8M-85RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-8m-85rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","2638000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76506","SKF","PHP 90-8M-50TB-SKF","PHP 90-8M-50TB-SKF","PHP908M50TBSKF","PHP 90-8M-50TB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-8m-50tb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","2001000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76505","SKF","PHP 90-8M-50RSB-SKF","PHP 90-8M-50RSB-SKF","PHP908M50RSBSKF","PHP 90-8M-50RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-8m-50rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","1755000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76504","SKF","PHP 90-8M-30RSB-SKF","PHP 90-8M-30RSB-SKF","PHP908M30RSBSKF","PHP 90-8M-30RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-8m-30rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","1264000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76503","SKF","PHP 90-8M-20RSB-SKF","PHP 90-8M-20RSB-SKF","PHP908M20RSBSKF","PHP 90-8M-20RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-8m-20rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","1048000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76502","SKF","PHP 90-14M-85RSB-SKF","PHP 90-14M-85RSB-SKF","PHP9014M85RSBSKF","PHP 90-14M-85RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-14m-85rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","5933000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76501","SKF","PHP 90-14M-55RSB-SKF","PHP 90-14M-55RSB-SKF","PHP9014M55RSBSKF","PHP 90-14M-55RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-14m-55rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","4172000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76500","SKF","PHP 90-14M-40RSB-SKF","PHP 90-14M-40RSB-SKF","PHP9014M40RSBSKF","PHP 90-14M-40RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-14m-40rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","3447000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76499","SKF","PHP 90-14M-170RSB-SKF","PHP 90-14M-170RSB-SKF","PHP9014M170RSBSKF","PHP 90-14M-170RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-14m-170rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","12029000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
"76498","SKF","PHP 90-14M-115RSB-SKF","PHP 90-14M-115RSB-SKF","PHP9014M115RSBSKF","PHP 90-14M-115RSB","Pulley","Pulley","89","pulley","https://vongbicongnghiep.vn/san-pham/php-90-14m-115rsb/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHP-M.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHP-M.png""]","","","[]","7857000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:55:50.968Z"
