id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"64423","SKF","S7216 CDGA/P4A-SKF","S7216 CDGA/P4A-SKF","S7216CDGAP4ASKF","S7216 CDGA/P4A","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14300/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","10407000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64422","SKF","S7216 ACDGA/P4A-SKF","S7216 ACDGA/P4A-SKF","S7216ACDGAP4ASKF","S7216 ACDGA/P4A","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14299/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","10407000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64421","SKF","S7216 ACD/P4ADGA-SKF","S7216 ACD/P4ADGA-SKF","S7216ACDP4ADGASKF","S7216 ACD/P4ADGA","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14298/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","21335000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64420","SKF","S7215 CDGA/P4A-SKF","S7215 CDGA/P4A-SKF","S7215CDGAP4ASKF","S7215 CDGA/P4A","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14297/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","8719000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64419","SKF","S7215 CD/P4ADGA-SKF","S7215 CD/P4ADGA-SKF","S7215CDP4ADGASKF","S7215 CD/P4ADGA","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14296/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","17874000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64418","SKF","S7215 ACD/P4ADBC-SKF","S7215 ACD/P4ADBC-SKF","S7215ACDP4ADBCSKF","S7215 ACD/P4ADBC","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14295/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","20645000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64417","SKF","S7215 ACD/P4ADBA-SKF","S7215 ACD/P4ADBA-SKF","S7215ACDP4ADBASKF","S7215 ACD/P4ADBA","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14294/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","19662000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64416","SKF","S7212 CDGA/P4A-SKF","S7212 CDGA/P4A-SKF","S7212CDGAP4ASKF","S7212 CDGA/P4A","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14293/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","6778000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64415","SKF","S7212 ACDGA/P4A-SKF","S7212 ACDGA/P4A-SKF","S7212ACDGAP4ASKF","S7212 ACDGA/P4A","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14292/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","6778000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
"64414","SKF","S7212 ACD/P4ADBA-SKF","S7212 ACD/P4ADBA-SKF","S7212ACDP4ADBASKF","S7212 ACD/P4ADBA","Vòng bi tiếp xúc góc 1 dãy","Vòng bi tiếp xúc góc 1 dãy","27","vong-bi","https://vongbicongnghiep.vn/san-pham/san-pham-14291/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/S7xxx.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-S7XXX.png""]","","","[]","15286000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:42:42.195Z"
