id,brand,sku,code,normalizedCode,name,category,categories,sourceCategoryId,sourceCategoryLabel,url,image,images,shortDescription,description,attributes,price,stockStatus,source,crawledAt
"65826","SKF","PHC S62X5MTR-SKF","PHC S62X5MTR-SKF","PHCS62X5MTRSKF","PHC S62X5MTR","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15630/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png""]","","","[]","3054000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65825","SKF","PHC S52X5MTR-SKF","PHC S52X5MTR-SKF","PHCS52X5MTRSKF","PHC S52X5MTR","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15629/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png""]","","","[]","2309000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65824","SKF","PHC S52-O/L-SKF","PHC S52-O/L-SKF","PHCS52OLSKF","PHC S52-O/L","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15628/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-OL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-OL.png""]","","","[]","162000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65823","SKF","PHC S52-C/L-SKF","PHC S52-C/L-SKF","PHCS52CLSKF","PHC S52-C/L","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15627/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-CL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-CL.png""]","","","[]","81000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65822","SKF","PHC LL4088X10FT-SKF","PHC LL4088X10FT-SKF","PHCLL4088X10FTSKF","PHC LL4088X10FT","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15626/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png""]","","","[]","33710000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65821","SKF","PHC LL2066X10FT-SKF","PHC LL2066X10FT-SKF","PHCLL2066X10FTSKF","PHC LL2066X10FT","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15625/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png""]","","","[]","4186000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65820","SKF","PHC LL1644X10FT-SKF","PHC LL1644X10FT-SKF","PHCLL1644X10FTSKF","PHC LL1644X10FT","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15624/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png""]","","","[]","1788000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65819","SKF","PHC LL0866X5MTR-SKF","PHC LL0866X5MTR-SKF","PHCLL0866X5MTRSKF","PHC LL0866X5MTR","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15623/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-BL.png""]","","","[]","1385000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65818","SKF","PHC C32B-2X5MTR-SKF","PHC C32B-2X5MTR-SKF","PHCC32B2X5MTRSKF","PHC C32B-2X5MTR","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15622/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-2FT.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-2FT.png"",""https://vongbicongnghiep.vn/wp-content/uploads/product_images/truyen-dong/xich/xich-ansi.jpg""]","","","[]","22109000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
"65817","SKF","PHC C32B-1X5MTR-SKF","PHC C32B-1X5MTR-SKF","PHCC32B1X5MTRSKF","PHC C32B-1X5MTR","Xích","Xích","87","xich","https://vongbicongnghiep.vn/san-pham/san-pham-15621/","https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-1FT.png","[""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/PHC-1FT.png"",""https://vongbicongnghiep.vn/wp-content/uploads/2024/12/BV-PHC-1FT.png""]","","","[]","11054000","out_of_stock","vongbicongnghiep.vn-wc-store-api-category-search-skf","2026-04-29T13:54:41.890Z"
