id,name,slug,count,parent,useful
"27","VÒNG BI","vong-bi","25989","","YES"
"83","SẢN PHẨM TRUYỀN ĐỘNG","san-pham-truyen-dong","16825","","YES"
"85","Dây đai","day-dai","9499","83","YES"
"69","PHỚT","phot","7126","","YES"
"29","Vòng bi cầu 1 dãy","vong-bi-cau-1-day","5251","27","YES"
"240","GỐI ĐỠ","goi-do","5203","","YES"
"33","Vòng bi tiếp xúc góc 1 dãy","vong-bi-tiep-xuc-goc-1-day","5162","27","YES"
"71","Phớt chặn dầu","phot-chan-dau","5087","69","YES"
"47","Vòng bi tang trống tự lựa","vong-bi-tang-trong-tu-lua","3670","27","YES"
"43","Vòng bi đũa trụ","vong-bi-dua-tru","3598","27","YES"
"16916","Đĩa xích","dia-xich","2349","83","YES"
"87","Xích","xich","1429","83","YES"
"45","Vòng bi đũa côn","vong-bi-dua-con","1345","27","YES"
"75","Phớt thủy lực Piston Seal","phot-thuy-luc-piston-seal","1335","69","YES"
"61","PHỤ KIỆN VÒNG BI","phu-kien-vong-bi","1311","27","YES"
"8664","Gối đỡ SAF và SAW","goi-saf-va-saw","1093","240","YES"
"49","Vòng bi đũa kim","vong-bi-dua-kim","809","27","YES"
"242","Vòng bi GE","vong-bi-ge","751","27","YES"
"8048","Bộ gối UCP vòng bi đũa","bo-goi-ucp-vong-bi-dua","745","240","YES"
"6305","Bộ gối UCP","bo-goi-ucp","679","240","YES"
"35","Vòng bi tiếp xúc góc 2 dãy","vong-bi-tiep-xuc-goc-2-day","635","27","YES"
"51","Vòng bi CARB","vong-bi-carb","594","27","YES"
"77","Phớt thủy lực Rod Seal","phot-thuy-luc-rod-seal","579","69","YES"
"16105","Bạc lót","bac-lot","572","","YES"
"37","Vòng bi cầu tự lựa","vong-bi-cau-tu-lua","563","27","YES"
"7479","Bộ gối UCF","bo-goi-ucf","522","240","YES"
"244","Vòng bi Rod End","vong-bi-rod-end","452","27","YES"
"246","Gối đỡ SNL dãy 2,3,5 và 6","goi-do-snl-day-235-va-6","445","240","YES"
"13138","Phớt cho gối","phot-cho-goi","436","240","YES"
"93","HỆ THỐNG BÔI TRƠN","he-thong-boi-tron","424","","YES"
"5038","Vòng bi Track roller","vong-bi-track-roller","424","27","YES"
"12247","Vòng bi đũa trụ tỳ","vong-bi-dua-tru-ty","377","27","YES"
"31","Vòng bi UC","vong-bi-uc","340","27","YES"
"67","Đai ốc","dai-oc","332","61","YES"
"8207","Bộ gối UCF vòng bi đũa","bo-goi-ucf-vong-bi-dua","327","240","YES"
"2119","Vòng bi cầu tỳ","vong-bi-cau-ty","321","27","YES"
"6280","Vòng bi QJ","vong-bi-qj","263","27","YES"
"13288","Phụ kiện bơm mỡ SKF","phu-kien-bom-mo-skf","224","93","YES"
"12919","Vành chặn cho gối đỡ","vanh-chan-cho-goi-do","221","240","YES"
"65","Ống lót đẩy","ong-lot-day","204","61","YES"
"7906","Bộ gối UCT","bo-goi-uct","186","240","YES"
"9652","VÒNG BI CHỊU NHIỆT","vong-bi-chiu-nhiet","167","27","YES"
"8611","Gối FNL","goi-fnl","150","240","YES"
"15700","Spherical roller thrust","spherical-roller-thrust-vong-bi-tang-trong-tu-lua","137","47","YES"
"8490","Gối đỡ SNL dãy 30,31 và 32","goi-snl-day-303132","130","240","YES"
"53","Vòng bi cách điện","vong-bi-cach-dien","116","27","YES"
"79","Phớt thủy lực Wiper Seal","phot-thuy-luc-wiper-seal","103","69","YES"
"13256","Vòng định vị","vong-dinh-vi","103","61","YES"
"95","Mỡ bôi trơn SKF","mo-boi-tron-skf","91","93","YES"
"12230","Vòng bi cầu 2 dãy","vong-bi-cau-2-day","77","27","YES"
"13271","Vòng bi trục cán","vong-bi-truc-can","69","27","YES"
"8574","Gối SONL","goi-sonl","67","240","YES"
"13255","Nắp bị đầu trục cho gối","nap-bi-dau-truc-cho-goi","67","240","YES"
"15620","Phớt","phot-phu-kien-vong-bi","66","61","YES"
"12216","Bộ chia mỡ Lincoln","bo-chia-mo-lincoln","58","93","YES"
"11378","Cảo vòng bi","cao-vong-bi","54","101","YES"
"16932","Bộ gối PF","bo-goi-pf","48","240","YES"
"9751","Vòng bi UC chịu nhiệt","vong-bi-uc-chiu-nhiet","48","9652","YES"
"9666","Gối UCP chịu nhiệt","goi-ucp-chiu-nhiet","44","9652","YES"
"9728","Gối UCF chịu nhiệt","goi-ucf-chiu-nhiet","41","9652","YES"
"9741","Gối Ovan chịu nhiệt","goi-oval-chiu-nhiet","34","9652","YES"
"41","VÒNG BI ĐŨA","vong-bi-dua","32","27","YES"
"13278","Vòng bi kim tỳ","vong-bi-kim-ty","32","41","YES"
"8266","Bộ gối UCT vòng bi đũa","bo-goi-uct-vong-bi-dua","29","240","YES"
"13140","Bộ gối UCFL","bo-goi-ucfl","26","240","YES"
"15618","Kẹp khóa cho đai ốc khóa hệ mét","kep-khoa-cho-dai-oc-khoa-he-met","25","61","YES"
"99","Bơm mỡ Lincoln","san-pham-lincoln","23","93","YES"
"97","Dụng cụ bôi trơn","dung-cu-boi-tron","23","93","YES"
"9573","Máy gia nhiệt vòng bi","may-gia-nhiet-vong-bi","22","101","YES"
"11637","Bơm dầu mỡ SKF","bom-dau-skf","20","93","YES"
"11562","Thiết bị kiểm tra máy","thiet-bi-kt-may","19","101","YES"
"15621","Vòng đệm giãn cách","vong-dem-gian-cach","19","61","YES"
"13139","Bộ gối UCFC","bo-goi-ucfc","18","240","YES"
"13280","Miếng chêm máy móc SKF","mieng-chem-may-moc-skf","15","101","YES"
"11560","Thiết bị phân tích","thiet-bi-phan-tich","13","101","YES"
"16718","Vòng bi tiếp xúc góc 4 dãy","vong-bi-tiep-xuc-goc-4-day","11","27","YES"
"13141","Bộ gối UCPA","bo-goi-ucpa","10","240","YES"
"11379","Đèn chớp và Súng bắn nhiệt độ","den-chop-nhiet-do","10","101","YES"
"13277","Vòng bi trượt","vong-bi-truot","10","27","YES"
"13257","Chìa vặn đai ốc","chia-van-dai-oc","9","101","YES"
"13223","Vòng bi UK","vong-bi-uk","9","27","YES"
"81","Phớt thủy lực Buffer Seal","phot-thuy-luc-buffer-seal","8","69","YES"
"15619","Tấm khóa cho đai ốc khóa inch","tam-khoa-cho-dai-oc-khoa-inch","7","61","YES"
"12228","VÒNG BI Ô TÔ &#8211; XE MÁY","vong-bi-o-to-xe-may","7","27","YES"
"55","Vòng bi tỳ","vong-bi-ty","7","27","YES"
"73","Phớt chặn dầu chịu nhiệt","phot-chan-dau-chiu-nhiet","3","69","YES"
"16931","Bộ gối UCFB","bo-goi-ucfb","2","240","YES"
"16930","Nắp bịt đầu trục","nap-bit-dau-truc","1","240","YES"
"13279","Vòng đệm cao su cho vòng bi","vong-dem-cao-su-cho-vong-bi","1","240","YES"
"89","Pulley","pulley","1809","83",""
"10891","Khớp nối SH Bushing","khop-noi-sh-bushing","599","83",""
"63","Ống lót rút","ong-lot-rut","555","61",""
"12699","Ống lót TB","ong-lot-tb","518","83",""
"16914","Ống lót QD","ong-lot-qd","441","83",""
"101","SẢN PHẨM BẢO TRÌ","san-pham-bao-tri","141","",""
"91","Ống lót FX","ong-lot-fx","138","83",""
"16915","Ống lót PHH","ong-lot-phh","43","83",""
"105","SẢN PHẨM NỔI BẬT","san-pham-noi-bat","36","",""
"12701","Ống lót sửa trục","ong-lot-sua-truc","10","69",""
"16954","Chưa phân loại","chua-phan-loai","1","",""
